word,part_of_speech
tantalizingly/tantalisingly,adverb
maelstrom,noun
vortex,noun
depressive,adjective
shoal,noun
scroll,noun
collide,verb
collider,noun
edifice,noun
thicket,noun
leaven,verb
leavening,noun
ethos,noun
interweave,verb
burgeoning,adjective
indiscrete,adjective
indiscretion,noun
telescopic,adjective
telescopically,adverb
amorphous,adjective
amorphously,adverb
hamper,verb
deterrent,noun
selectivity,noun
fractious,adjective
mystique,noun
assimilate,verb
assimilation,noun
intersperse,verb
verbatim,adjective
verily,adverb
veritable,adjective
verisimilitude,noun
artifice,noun
unfeasible,adjective
unfeasibly,adverb
behest,noun
virtuoso,noun
virtuosity,noun
cascade,verb
crippling,adjective
nascent,adjective
smattering,noun
corpus,noun
wheeze,verb
neophyte,noun
coax,verb
formidably,adverb
formidable,adjective
squint,verb
hoist,verb
flatout,adverb
buzzard,noun
bogus,adjective
derision,noun
derisive,adjective
derisively,adverb
truism,noun
prurient,adjective
wither,verb
prurience,noun
tetchy,adjective
agile,adjective
agility,noun
aghast,adjective
dwarf,verb
dwarfism,noun
etch,verb
etching,noun
rapture,noun
rapturous,adjective
rapturously,adverb
ad lib,adjective
ad-lib,verb
improvisational,adjective
acrobatics,noun
acrobatically,adverb
acrobatic,adjective
arduous,adjective
ardor/ardour,noun
arduously,adverb
counterproductive,adjective
counterproductively,adverb
proverbial,adjective
instantaneous,adjective
instantaneously,adverb
mull over,verb
ruminate,verb
rumination,noun
ruminant,adjective
ruminative,adjective
hover,verb
armory/armoury,noun
apostle,noun
blubber,noun
blubbery,adjective
merger,noun
trifle,noun
eke out,verb
paramount,adjective
squirm,verb
squirmy,adjective
floe,noun
embody,verb
embodiment,noun
wistful,adjective
wistfully,adverb
mercantile,adjective
skew,verb
subsist,verb
subsistence,noun
subsidy,noun
subsidize,verb
legion,noun
confrontational,adjective
confrontationally,adverb
bout,noun
gout,noun
hinder,verb
hindrance,noun
myriad,adjective
histrionic,adjective
histrionically,adverb
marketability,noun
tacit,adjective
tacitly,adverb
taciturn,adjective
taciturnity,noun
surreptitious,adjective
surreptitiously,adverb
allegory,noun
allegorical,adjective
seedy,adjective
punitive,adjective
punitively,adverb
temper,verb
milieu,noun
self-aggrandizement/self-aggrandisement,noun
unadulterated,adjective
adulterate,verb
patronize/patronise,verb
patronizing/patronising,adjective
patronizingly/patronisingly,adverb
cogent,adjective
cogently,adverb
incongruous,adjective
incongruously,adverb
incongruity,noun
deaden,verb
attuned,adjective
attributive,adjective
ecotourism,noun
surge,verb
farcical,adjective
incise,verb
incipient,adjective
echolocation,noun
echolocate,verb
reverb,noun
reverberation,noun
reverberate,verb
ingenuous,adjective
ingenuously,adverb
impresario,noun
elasticity,noun
synthesis,noun
salivary,adjective
hypnotherapy,noun
wholly,adverb
remorseful,adjective
remonstrate,vern
remonstrance,noun
unexcused,adjective
unexceptionally,adverb
unexceptional,adjective
inexorable,adjective
inexorably,adverb
inexorability,noun
tranquilize/tranquilise,verb
